Startup,Product,Funding,Event,Result,OperatingState,,,,Audience choice,Operating,,Funding
Current Labs,currentlabs.io,,Hardware Battlefield 2015,Contestant,Operating,,,,,,,$34.9M
Cyfeon Solutions,cyfeon.com,,Disrupt NYC 2012,Contestant,Operating,,,,,,,$67.8M
DataFox,datafox.com,$6.8M,Disrupt SF 2014,Contestant,Operating,,,,,,,$11.7M
DataSift,datasift.com,$72M,Disrupt SF 2010,Finalist,Operating,,,,,,,$166.1M
DataXu,dataxu.com,$64M,TC50 2009,Contestant,Operating,,,,,,,$1.6M
Deja,deja.com,$12.5M,Disrupt NYC 2011,Contestant,Acquired,,,,,,,$4.4M
Desmos,desmos.com,$900K,Disrupt NYC 2011,Contestant,Operating,,,,,,,$717K
Devunity,devunity.com,$100K,TC50 2008,Contestant,Operating,,,,,,,$5.8M
DigitalGenius,digitalgenius.com,$7.3M,Disrupt NY 2015,Runner up,Operating,,,,,,,$4.1M
Discovr Labs,discovrlearning.com,$100K,Disrupt SF 2015,Contestant,Operating,,,,,,,$42.1M
Disease Diagnostic Group,diseasediagnostic.com,$1.3M,Disrupt EU 2014,Runner up,Operating,,,,,,,$69M
Dispatch,dispatch.com,$983K,Disrupt SF 2012,Contestant,Acquired,,,,,,,$10.6M
DocSend,docsend.com,$9.7M,Disrupt NYC 2014,Contestant,Operating,,,,,,,$65.1M
Docstoc,docstoc.com,$4M,TC40 2007,Contestant,Closed,,,,,,,$875K
Docurated,docurated.com,$5.4M,Disrupt NYC 2013,Contestant,Operating,,,,,,,$250K
Donay,donay.com,$160K,Disrupt NYC 2013,Contestant,Closed,,,,,,,$25.1M
Donde,donde.io,,Disrupt SF 2014,Audience choice,Operating,,,,,,,$635K
DotSpots,dotspots.com,$300K,TC50 2008,Contestant,Closed,,,,,,,$9.2M
"Driblet Labs, LLC",driblet.io,$20K,Hardware Battlefield 2014,Contestant,Operating,,,,,,,$800K
Dropbox,dropbox.com,$1.7B,TC50 2008,Contestant,Operating,,,,,,,$9.4M
Dryft,dryft.com,,Disrupt SF 2013,Finalist,Acquired,,,,,,,$31.8M
Dynosense,dynosense.com,$10.1M,Disrupt SF 2014,Contestant,Operating,,,,,,,$3.3M
EasyPaint,easypaint.com,$485K,Disrupt SF 2015,Contestant,Operating,,,,,,,$9.5M
EatWith,eatwith.com,$8M,Disrupt NYC 2013,Contestant,Operating,,,,,,,$3.5M
Edyn,edyn.com,$3M,Disrupt SF 2013,Finalist,Operating,,,,,,,$275K
eGood,egood.com,$3M,Disrupt SF 2013,Audience choice,Operating,,,,,,,$13.2M
Elemental Path,elementalpath.com,$4.3M,Hardware Battlefield 2016,Contestant,Operating,,,,,,,$12.8M
Emburse,emburse.com,$120K,Disrupt SF 2015,Contestant,Operating,,,,,,,$5.3M
Emerginvest,emergevest.com,,TC50 2008,Contestant,Closed,,,,,,,$37M
Emotech LTD,emotech.co,$10M,Disrupt London 2015,Contestant,Operating,,,,,,,$3.9M
EnergyElephant,energyelephant.com,,Disrupt London 2015,Contestant,Operating,,,,,,,$651.4K
Enigma,enigma.io,$34.6M,Disrupt NYC 2013,Winner,Operating,,,,,,,$38.5M
Evercam,evercam.io,$1M,Disrupt NYC 2014,Contestant,Operating,,,,,,,$25.5M
Evergage,evergage.com,$16.3M,Disrupt NYC 2012,Finalist,Operating,,,,,,,$892K
EverlyWell,everlywell.com,$5M,Disrupt SF 2016,Finalist,Operating,,,,,,,$3.4M
Everpix,everpix.com,$2.4M,Disrupt SF 2011,Contestant,Closed,,,,,,,$1.5M
EveryLayer,everylayer.com,$650K,Disrupt NY 2015,Contestant,Operating,,,,,,,$79.5K
EverythingMe,everything.me,$35.5M,Disrupt NYC 2011,Contestant,Closed,,,,,,,$156K
exchangeP,exchangep.com,,TC50 2008,Contestant,Closed,,,,,,,$4.8M
Expect Labs,mindmeld.com,$15.4M,Disrupt SF 2012,Finalist,Operating,,,,,,,$755K
Extreme Reality,xtr3d.com,$18.2M,TC40 2007,Contestant,Operating,,,,,,,$525K
Exversion,exversion.com,,Disrupt EU 2013,Contestant,Operating,,,,,,,$18.5M
FairFleet,fairfleet360.com,,Disrupt London 2015,Contestant,Operating,,,,,,,$278M
FairSoftware,fairsoftware.com,$100K,TC50 2008,Contestant,Closed,,,,,,,$3.6M
Famo.us,famo.us,$30.1M,Disrupt SF 2012,Contestant,Operating,,,,,,,$63M
Farmigo,farmigo.com,$26M,Disrupt SF 2011,Finalist,Operating,,,,,,,$948K
FAROO,faroo.com,,TC40 2007,Contestant,Operating,,,,,,,$10.5M
Feed.fm,feed.fm,$1.2M,Disrupt SF 2013,Contestant,Operating,,,,,,,$7.4M
Fetch,buywithfetch.com,$2.3M,Disrupt NYC 2014,Contestant,Closed,,,,,,,$6M
Fidesmo,fidesmo.com,$790.6K,Disrupt NYC 2014,Contestant,Operating,,,,,,,$20.3K
Filter.ly,filter.ly,,Disrupt SF 2015,Contestant,Operating,,,,,,,$765K
FishingBooker,fishingbooker.com,$60K,Disrupt SF 2014,Audience choice,Operating,,,,,,,$145K
Fit Analytics,fitanalytics.com,,Disrupt Beijing 2011,Contestant,Operating,,,,,,,$25M
Fitbit,fitbit.com,$66M,TC50 2008,Finalist,Ipo,,,,,,,$956K
FITIQUETTE,fitiquette.com,,Disrupt SF 2012,Contestant,Acquired,,,,,,,$7.7M
Fleet,tryfleet.com,$6.5M,Disrupt SF 2014,Runner up,Operating,,,,,,,$160M
Flock,flock.com,$28.3M,TC40 2007,Contestant,Acquired,,,,,,,$590K
Floored,floored.com,$6.4M,Disrupt NYC 2013,Finalist,Acquired,,,,,,,$855.4K
FlowPlay,flowplay.com,$8.2M,TC40 2007,Contestant,Operating,,,,,,,$165K
Fluid HTML,fluidhtml.com,,TC50 2009,Contestant,Closed,,,,,,,$16.2M
Fluidinfo,fluidinfo.com,$1.7M,Disrupt NYC 2010,Contestant,Operating,,,,,,,$18M
Fog Creek Software,fogcreek.com,,Disrupt SF 2011,Contestant,Operating,,,,,,,$440K
Fogo Digital,fogo.io,,Hardware Battlefield 2015,Finalist,Operating,,,,,,,$684.4K
FoodStantly,foodstantly.com,$5K,Disrupt London 2016,Contestant,Operating,,,,,,,$129.8K
Footnote,footnote.com,$10M,TC50 2008,Contestant,Operating,,,,,,,$482K
Force Impact Technologies,fitguard.me,$310.5K,Hardware Battlefield 2016,Contestant,Operating,,,,,,,$200K
Foretuit,foretuit.com,,Disrupt NYC 2011,Contestant,Operating,,,,,,,$2.1M
Fotonauts,fotopedia.com,,TC50 2008,Contestant,Operating,,,,,,,$23K
FOVE,getfove.com,$11.3M,Disrupt SF 2014,Contestant,Operating,,,,,,,$863K
FUSAR,fusar.com,$3.8M,Hardware Battlefield 2016,Contestant,Operating,,,,,,,$15.6M
GameCrush,gamecrush.com,$700K,Disrupt SF 2010,Finalist,Closed,,,,,,,$47.4M
GazoPa,gazopa.com,,TC50 2008,Contestant,Closed,,,,,,,$323.8K
Gem,gem.co,$12.5M,Disrupt SF 2014,Contestant,Operating,,,,,,,$5.1M
Geotoko,geotoko.com,,Disrupt NYC 2010,Contestant,Acquired,,,,,,,$24.5M
Getaround,getaround.com,$103M,Disrupt NYC 2011,Winner,Operating,,,,,,,$4.7M
Gifi,gifi.fr,$1.2M,Disrupt SF 2010,Contestant,Closed,,,,,,,$532K
Giftbit,giftbit.com,$1.9M,Disrupt SF 2016,Contestant,Operating,,,,,,,$4.2M
giftgaming,giftgaming.com,$334.6K,Disrupt EU 2014,Contestant,Operating,,,,,,,$280K
Gild,gild.com,$25.9M,Disrupt SF 2010,Contestant,Acquired,,,,,,,$9.8M
Glance Clock,glanceclock.com,$755.9K,Hardware Battlefield 2016,Contestant,Operating,,,,,,,$16M
Glide,glide.me,$36.5M,Disrupt NYC 2013,Audience choice,Operating,,,,,,,$93K
Glide Health,glidehealth.us,$1M,TC50 2009,Contestant,Closed,,,,,,,$88K
Glider,glider.com,$1.4M,Disrupt NYC 2013,Contestant,Acquired,,,,,,,$10.3M
GoInstant,goinstant.com,$1.7M,Disrupt SF 2011,Contestant,Acquired,,,,,,,$13.1M
GoodGuide,goodguide.com,$14.2M,TC50 2008,Finalist,Acquired,,,,,,,$332.4M
GoPlanit,goplanit.com,$500K,TC50 2008,Contestant,Operating,,,,,,,$7.8M
GotStatus,gotstat.us,,TC40 2007,Contestant,Closed,,,,,,,$14.5M
GradFly,gradfly.co,$191.5K,Disrupt NYC 2013,Contestant,Closed,,,,,,,$35M
Green Bits,greenbits.com,,Disrupt SF 2015,Runner up,Operating,,,,,,,$168.8M
Gripe,gri.pe,,Disrupt SF 2010,Contestant,Closed,,,,,,,$830.2K
Grockit,grockit.com,$44.7M,TC50 2008,Finalist,Acquired,,,,,,,$28M
Grow the Planet,growtheplanet.com,$566.1K,Disrupt SF 2011,Contestant,Operating,,,,,,,$26.7K
gulu.com,gulu.com,$300K,Disrupt Beijing 2011,Contestant,Closed,,,,,,,$55K
GunZoo.com,gunzoo.com,,Disrupt SF 2010,Contestant,Operating,,,,,,,$30.8M
Gyft,gyft.com,$6.3M,Disrupt SF 2012,Finalist,Acquired,,,,,,,$85.7K
H2L,h2l.com,,Disrupt SF 2015,Contestant,Operating,,,,,,,$2.5M
HackerRank,hackerrank.com,$24.2M,Disrupt SF 2012,Contestant,Operating,,,,,,,$17.4M
Halo Neuroscience,haloneuro.com,$10.7M,Disrupt NY 2016,Contestant,Operating,,,,,,,$15.8M
Hammer & Chisel,discordapp.com,,Disrupt SF 2013,Finalist,Operating,,,,,,,$28K
Hamwells,hamwells.com,$1.3M,Disrupt London 2015,Contestant,Operating,,,,,,,$41.8M
Handle,handle.com,$22M,Disrupt NYC 2013,Runner up,Operating,,,,,,,$142M
Hangout Industries,hangout.net,$12M,TC50 2008,Contestant,Operating,,,,,,,$117.8M
Happy Toy Machine,happytoymachine.com,,Disrupt NYC 2011,Audience choice,Operating,,,,,,,$62.1M
Hark,hark.com,$5M,TC50 2009,Contestant,Operating,,,,,,,$583.6M
Health2Sync,health2sync.com,$4.5M,Hardware Battlefield 2014,Contestant,Operating,,,,,,,$223M
HealthCrew,healthcrew.me,,Disrupt NYC 2014,Contestant,Operating,,,,,,,$31.5M
HealthyOut,healthyout.com,$1.2M,Disrupt NYC 2013,Finalist,Acquired,,,,,,,
HealthyWage,healthywage.com,,TC50 2009,Contestant,Operating,,,,,,,
Heatworks Technology,myheatworks.com,$7.2M,Disrupt NYC 2014,Runner up,Operating,,,,,,,
Hello Alfred,helloalfred.com,$12.5M,Disrupt SF 2014,Winner,Operating,,,,,,,
High Mobility,high-mobility.com,$1.1M,Disrupt EU 2013,Contestant,Operating,,,,,,,
Hmmm,hmmmapp.com,,Disrupt NYC 2012,Contestant,Operating,,,,,,,
HomeMe,homemeapp.com,$3.2M,Disrupt NY 2016,Contestant,Operating,,,,,,,
HouseFix,housefix.com,$150K,Disrupt SF 2011,Contestant,Closed,,,,,,,
HowFactory,howfactory.com,$195K,Disrupt NY 2015,Contestant,Operating,,,,,,,
hownow,learnhownow.com,,Disrupt NYC 2012,Contestant,Closed,,,,,,,
Humon,humon.io,$1M,Disrupt SF 2015,Contestant,Operating,,,,,,,
HuoHua Mobile,huohua.co,,Disrupt Beijing 2011,Contestant,Closed,,,,,,,
IAMNEWS,iamnews.com,,TC50 2008,Audience choice,Closed,,,,,,,
iCharts,icharts.net,$16.3M,TC50 2008,Contestant,Operating,,,,,,,
Idle Gaming,idle-gaming.com,$14.1M,Disrupt SF 2011,Contestant,Operating,,,,,,,
Imindi,imindi.com,$500K,TC50 2008,Contestant,Closed,,,,,,,
IMO,,,TC50 2009,Contestant,Operating,,,,,,,
import.io,import.io,$18.2M,Disrupt EU 2013,Finalist,Operating,,,,,,,
ImpulseSave,impulsesave.com,$50K,Disrupt SF 2012,Contestant,Acquired,,,,,,,
Incident Technologies,incidentgtar.com,$745K,Disrupt NYC 2012,Runner up,Operating,,,,,,,
inMarket,inmarket.com,$2M,Disrupt SF 2010,Contestant,Operating,,,,,,,
INRFOOD,inrfood.com,$457K,Disrupt SF 2012,Contestant,Operating,,,,,,,
Insensi,ily.co,$3M,Hardware Battlefield 2016,Contestant,Acquired,,,,,,,
InsideDNA,insidedna.me,,Disrupt London 2016,Runner up,Operating,,,,,,,
InsideMaps,insidemaps.com,,Disrupt SF 2013,Contestant,Operating,,,,,,,
Instant API Inc.,instantapi.com,$355K,Disrupt EU 2014,Contestant,Operating,,,,,,,
Insttant,insttant.com,,TC50 2009,Contestant,Operating,,,,,,,
Integreight,integreight.com,,Disrupt EU 2013,Audience choice,Operating,,,,,,,
Intelligent Flying Machines,ifm-tech.com,,Disrupt SF 2016,Contestant,Operating,,,,,,,
InvoiceASAP,invoiceasap.com,$696.3K,Disrupt NYC 2011,Audience choice,Operating,,,,,,,
Ionic Security,ionicsecurity.com,$122.4M,Disrupt SF 2012,Contestant,Operating,,,,,,,
Iris AI,iris.ai,$421.6K,Disrupt London 2016,Contestant,Operating,,,,,,,
IsItYou,isityou.biz,$1M,Disrupt SF 2014,Contestant,Operating,,,,,,,
iThryv,ithryv.com,,TC50 2008,Contestant,Operating,,,,,,,
iTwin,itwin.com,$1.3M,TC50 2009,Contestant,Acquired,,,,,,,
IZEA,izea.com,$34.9M,Disrupt NYC 2010,Contestant,Ipo,,,,,,,
Japet Medical Devices,japet.eu,,-,Contestant,Operating,,,,,,,
Jewelbots,jewelbots.com,$1.2M,Hardware Battlefield 2016,Contestant,Operating,,,,,,,
Jiff,jiff.com,$67.8M,Disrupt SF 2011,Contestant,Acquired,,,,,,,
Jukedeck,jukedeck.com,$3.8M,Disrupt London 2015,Winner,Operating,,,,,,,
JumpCloud,jumpcloud.com,$11.7M,Disrupt SF 2013,Contestant,Operating,,,,,,,
Kaltura,kaltura.com,$166.1M,TC40 2007,Audience choice,Operating,,,,,,,
Karizma,karizma.im,,Disrupt NYC 2011,Contestant,Closed,,,,,,,
Katalyst Network,katalystng.com,$10M,TC50 2008,Contestant,Closed,,,,,,,
Keen Home,keenhome.io,$1.6M,Disrupt NYC 2013,Contestant,Operating,,,,,,,
keenkong,,,Disrupt NYC 2010,Contestant,Operating,,,,,,,
Kerpoof,kerpoof.com,,TC40 2007,Contestant,Acquired,,,,,,,
Kinobi,kinobi.co,,Disrupt SF 2012,Contestant,Closed,,,,,,,
